iter	Passed	Remaining
0	0	977
1	1	915
2	2	889
3	3	860
4	4	857
5	5	856
6	6	865
7	6	861
8	7	859
9	8	860
10	9	868
11	10	862
12	11	861
13	12	864
14	13	873
15	14	874
16	15	877
17	16	876
18	16	875
19	17	873
20	18	868
21	19	866
22	20	861
23	21	859
24	21	857
25	22	853
26	23	854
27	24	854
28	25	856
29	26	859
30	27	858
31	28	859
32	29	860
33	30	857
34	30	853
35	31	852
36	32	849
37	33	846
38	34	845
39	35	842
40	35	839
41	36	836
42	37	835
43	38	834
44	39	834
45	40	836
46	41	838
47	42	837
48	43	836
49	43	835
50	44	835
51	45	834
52	46	832
53	47	831
54	48	829
55	49	826
56	49	824
57	50	823
58	51	822
59	52	820
60	53	818
61	54	819
62	55	819
63	55	818
64	56	818
65	57	818
66	59	827
67	60	830
68	61	827
69	62	827
70	63	826
71	64	825
72	64	823
73	65	818
74	66	814
75	66	811
76	67	807
77	68	806
78	69	806
79	70	807
80	71	807
81	71	805
82	72	800
83	73	798
84	73	796
85	74	796
86	75	796
87	76	794
88	77	794
89	78	793
90	79	792
91	80	790
92	80	787
93	81	785
94	82	783
95	82	781
96	83	779
97	84	778
98	85	779
99	86	779
100	87	781
101	88	781
102	89	780
103	90	778
104	91	777
105	92	776
106	92	774
107	93	772
108	94	769
109	94	767
110	95	764
111	96	762
112	96	759
113	97	756
114	98	754
115	99	754
116	99	753
117	100	753
118	101	753
119	102	752
120	103	752
121	104	750
122	105	748
123	105	746
124	106	744
125	107	742
126	107	739
127	108	738
128	109	736
129	109	734
130	110	733
131	111	731
132	111	729
133	112	727
134	113	725
135	114	725
136	115	726
137	116	725
138	117	725
139	118	725
140	119	725
141	119	722
142	120	720
143	120	718
144	121	716
145	122	713
146	122	711
147	123	710
148	124	708
149	124	706
150	125	704
151	126	703
152	126	701
153	127	699
154	127	697
155	128	695
156	129	694
157	130	694
158	131	694
159	132	694
160	132	692
161	134	693
162	134	692
163	135	690
164	136	689
165	136	687
166	137	685
167	138	684
168	138	682
169	139	681
170	140	679
171	140	677
172	141	675
173	142	674
174	142	672
175	143	671
176	144	670
177	145	670
178	146	669
179	146	669
180	147	669
181	148	668
182	149	668
183	150	667
184	151	665
185	151	664
186	152	662
187	152	660
188	153	659
189	154	657
190	154	656
191	155	654
192	156	652
193	156	651
194	157	650
195	158	648
196	158	647
197	159	647
198	160	647
199	161	646
200	162	646
201	163	646
202	164	645
203	165	644
204	165	643
205	166	642
206	167	640
207	167	639
208	168	638
209	169	636
210	169	635
211	170	634
212	171	632
213	171	631
214	172	629
215	173	628
216	174	628
217	174	627
218	175	626
219	176	626
220	177	626
221	178	626
222	179	625
223	180	624
224	181	623
225	181	622
226	182	621
227	183	619
228	183	618
229	184	617
230	185	615
231	185	614
232	186	613
233	186	611
234	187	610
235	188	609
236	188	608
237	190	608
238	191	608
239	192	608
240	193	608
241	194	608
242	195	607
243	195	607
244	196	606
245	197	605
246	198	603
247	198	602
248	199	601
249	199	599
250	200	598
251	201	597
252	201	596
253	202	595
254	203	594
255	204	593
256	205	593
257	206	593
258	207	592
259	208	592
260	208	591
261	209	590
262	210	589
263	211	588
264	212	588
265	212	586
266	213	585
267	213	584
268	214	583
269	215	582
270	216	581
271	216	580
272	217	579
273	218	578
274	218	577
275	219	576
276	220	575
277	221	575
278	222	575
279	223	574
280	224	574
281	225	573
282	226	572
283	226	571
284	227	570
285	228	569
286	228	568
287	229	567
288	230	565
289	230	564
290	231	563
291	231	562
292	232	561
293	233	560
294	233	559
295	234	558
296	235	557
297	236	556
298	237	556
299	238	556
300	239	555
301	240	554
302	240	553
303	241	552
304	242	551
305	242	550
306	243	549
307	244	548
308	244	547
309	245	546
310	246	545
311	246	544
312	247	543
313	248	542
314	248	541
315	249	540
316	250	539
317	251	538
318	252	538
319	253	537
320	254	537
321	254	536
322	255	536
323	256	534
324	257	533
325	257	533
326	258	532
327	259	531
328	259	530
329	260	529
330	261	527
331	261	527
332	262	526
333	263	524
334	263	523
335	264	522
336	265	522
337	266	521
338	267	520
339	268	520
340	268	519
341	269	519
342	270	518
343	271	517
344	272	517
345	273	516
346	273	515
347	274	514
348	275	513
349	275	512
350	276	510
351	277	509
352	277	508
353	278	507
354	278	506
355	279	505
356	280	504
357	281	504
358	282	503
359	283	503
360	284	502
361	285	502
362	286	502
363	286	501
364	287	500
365	288	499
366	289	498
367	289	497
368	290	496
369	290	495
370	291	494
371	292	493
372	292	492
373	293	491
374	294	490
375	294	489
376	295	488
377	296	487
378	297	487
379	298	486
380	299	485
381	300	485
382	300	484
383	301	484
384	302	483
385	303	483
386	304	482
387	305	481
388	306	480
389	306	479
390	307	478
391	308	477
392	308	476
393	309	475
394	310	474
395	310	473
396	311	473
397	312	472
398	313	471
399	314	471
400	314	470
401	316	470
402	316	469
403	317	468
404	318	467
405	318	466
406	319	465
407	320	464
408	320	463
409	321	462
410	322	461
411	322	460
412	323	459
413	324	458
414	324	457
415	325	457
416	326	456
417	327	455
418	328	455
419	329	454
420	330	454
421	331	453
422	331	452
423	332	451
424	333	451
425	334	450
426	334	449
427	335	448
428	335	447
429	336	446
430	337	445
431	337	444
432	338	443
433	339	442
434	339	441
435	340	440
436	341	439
437	341	438
438	342	438
439	343	437
440	344	436
441	345	436
442	346	435
443	347	435
444	348	434
445	349	433
446	350	432
447	350	432
448	351	431
449	351	430
450	352	429
451	353	428
452	353	427
453	354	426
454	355	425
455	355	424
456	356	423
457	357	423
458	358	422
459	359	421
460	360	421
461	361	421
462	362	420
463	363	419
464	364	419
465	364	418
466	365	417
467	366	416
468	366	415
469	367	414
470	367	413
471	368	412
472	369	411
473	369	410
474	370	409
475	371	408
476	372	408
477	373	407
478	374	407
479	375	406
480	376	406
481	377	405
482	378	405
483	379	404
484	380	403
485	380	402
486	381	401
487	382	401
488	383	400
489	383	399
490	384	398
491	385	397
492	386	397
493	387	396
494	388	396
495	389	395
496	390	394
497	390	394
498	391	393
499	392	392
500	393	392
501	394	391
502	395	390
503	396	390
504	397	389
505	397	388
506	398	387
507	399	386
508	399	385
509	400	384
510	400	383
511	401	382
512	402	382
513	403	381
514	404	380
515	405	380
516	406	379
517	407	378
518	407	377
519	408	377
520	409	376
521	409	375
522	410	374
523	410	373
524	411	372
525	412	371
526	412	370
527	413	369
528	414	368
529	414	367
530	415	366
531	416	366
532	416	365
533	417	364
534	418	363
535	419	362
536	420	362
537	420	361
538	421	360
539	422	360
